benchmark name,collecting queries,rewriting,gen derived preds,finalize,total complation, solution, size(KB)
robot 3,0.000551,0.602132,0.001034,0.000271,0.604116,0.07s,10076
robot 4,0.000375,0.377298,0.001364,0.000382,0.379547,0.09s,10072
robot 5,0.000507,0.381027,0.001737,0.000433,0.383835,0.10s,10072
robot 6,0.000611,0.386357,0.002096,0.000503,0.389714,0.13s,10652
robot 7,0.000695,0.389797,0.002507,0.000590,0.393730,0.16s,13368
robot 8,0.000785,1.055893,0.002748,0.000691,1.060254,0.26s,25744
robot 9,0.000911,0.399110,0.003064,0.000794,0.404012,0.69s,80508
robot 10,0.001019,0.394616,0.003829,0.000848,0.400461,2.78s,321228
robot 11,0.001131,0.412423,0.003720,0.000907,0.418312,15.14s,1369784
robot 12,0.001178,0.422214,0.004107,0.001060,0.428703,
