benchmark name,t closure,domain extension,collecting queries,rewriting,update rules const,gen derived preds,finalize,total complation, solution, size(KB)
cat 17,0.049898,0.000097,0.000202,0.339018,0.000231,0.001866,0.000735,0.342328,0.61s,43116
elevator 22,0.051539,0.000151,0.000975,0.335512,0.000321,0.003242,0.001480,0.341884,0.31s,10460
task 15,0.051014,0.000690,0.000434,0.346126,0.000939,0.008526,0.004390,0.361303,135.04s,12316
order 5,0.054761,0.000776,0.000409,0.322555,0.000484,0.006084,0.003668,0.334190,0.28s,11620
order 10,0.054598,0.000847,0.000382,0.323312,0.000501,0.005952,0.003654,0.334833,0.79s,14132
order 15,0.054781,0.000853,0.000447,0.325812,0.000608,0.006054,0.003681,0.337663,1.88s,19340
trip 5,0.049836,0.000737,0.000481,0.339502,0.000384,0.003207,0.001516,0.346019,1.86s,18836
trip 10,0.049683,0.000653,0.000493,0.342221,0.000312,0.003298,0.001483,0.348665,5.15s,29916
trip 15,0.051162,0.000711,0.000504,0.349716,0.000392,0.003254,0.001587,0.356366,11.97s,48872
tripv2 5,0.051273,0.000782,0.000537,0.362056,0.000347,0.004056,0.002047,0.370019,0.89s,19712
tripv2 10,0.051095,0.000797,0.000507,0.357064,0.000347,0.004195,0.002017,0.365107,1.97s,32476
tripv2 15,0.050713,0.000748,0.000521,0.357450,0.000353,0.004204,0.002040,0.365502,3.99s,56064
