benchmark name,t closure,domain extension,collecting queries,rewriting,update rules const,gen derived preds,finalize,total complation, solution, size(KB)
cat 17,0.050247,0.000112,0.000202,0.342092,0.000236,0.002529,0.000764,0.346130,1.43s,28700
elevator 22,0.050792,0.000134,0.000994,0.368426,0.000396,0.003242,0.001558,0.375008,1.23s,26636
task 15,0.052330,0.001035,0.000469,0.348961,0.000813,0.008567,0.004537,0.364584,1.20s,12196
order 5,0.054437,0.000875,0.000440,0.324317,0.000523,0.006064,0.003760,0.336210,0.29s,11616
order 10,0.053812,0.000754,0.000413,0.321393,0.000495,0.006064,0.003683,0.333009,0.80s,14100
order 15,0.054557,0.000822,0.000388,0.326222,0.000607,0.006124,0.003793,0.338169,1.88s,19336
trip 5,0.049258,0.000731,0.000503,0.335139,0.000322,0.003356,0.001518,0.341764,1.89s,18428
trip 10,0.049642,0.000755,0.000562,0.348425,0.000363,0.003599,0.001489,0.355392,5.17s,29384
trip 15,0.049339,0.000763,0.000484,0.340624,0.000314,0.003294,0.001516,0.347178,11.95s,47792
tripv2 5,0.051208,0.000805,0.000518,0.350282,0.000371,0.004142,0.002060,0.358361,0.85s,19296
tripv2 10,0.050522,0.000713,0.000520,0.354148,0.000351,0.004216,0.002064,0.362195,1.95s,31840
tripv2 15,0.051116,0.000820,0.000524,0.355366,0.000366,0.004165,0.002025,0.363455,3.97s,54724
