benchmark name,t closure,domain extension,collecting queries,rewriting,update rules const,gen derived preds,finalize,total complation,tseitin transformation, solution, size(KB)
cat 17,0.050211,0.000091,0.000194,0.338192,0.000274,0.002500,0.000724,0.342170,0.021989,0.18s,10204
elevator 22,0.050245,0.000116,0.000780,0.351717,0.000406,0.003269,0.001473,0.357958,0.102144,0.32s,10584
task 15,0.051791,0.000782,0.000451,0.348075,0.000834,0.008621,0.004425,0.363396,0.886251,2.52s,32764
order 5,0.053911,0.000634,0.000378,0.324546,0.000524,0.006060,0.003746,0.336080,0.506658,0.31s,11864
order 10,0.053943,0.000854,0.000400,0.322765,0.000586,0.006042,0.003690,0.334548,0.512167,0.79s,14516
order 15,0.053769,0.000660,0.000399,0.323023,0.000540,0.006073,0.003734,0.334621,0.510804,1.91s,19748
trip 5,0.049668,0.000679,0.000457,0.334532,0.000319,0.003218,0.001528,0.340912,0.060339,1.86s,19256
trip 10,0.049892,0.000725,0.000495,0.344970,0.000327,0.003235,0.001524,0.351456,0.060717,5.32s,30480
trip 15,0.049572,0.000918,0.000518,0.341559,0.000310,0.003311,0.001508,0.348321,0.060403,11.96s,49560
tripv2 5,0.051115,0.000722,0.000546,0.353037,0.000353,0.004097,0.002041,0.360976,0.155928,0.88s,20000
tripv2 10,0.050864,0.000840,0.000553,0.353498,0.000380,0.004190,0.002110,0.361784,0.148556,2.04s,32880
tripv2 15,0.051329,0.000795,0.000580,0.357159,0.000421,0.004139,0.002016,0.365311,0.146527,4.00s,56756
