benchmark name,t closure,domain extension,collecting queries,rewriting,update rules const,gen derived preds,finalize,total complation,tseitin transformation, solution, size(KB)
cat 17,0.050620,0.000108,0.000206,0.344295,0.000266,0.002563,0.000735,0.348366,0.021714,2.08s,31724
elevator 22,0.050545,0.000127,0.000787,0.341488,0.000338,0.003276,0.001510,0.347715,0.101143,1.73s,31368
task 15,0.051509,0.000652,0.000437,0.350660,0.000853,0.008564,0.004432,0.365796,0.895248,2.51s,32088
order 5,0.053702,0.000730,0.000453,0.322623,0.000548,0.006078,0.003664,0.334292,0.508213,0.31s,11864
order 10,0.053789,0.000767,0.000401,0.325443,0.000500,0.006080,0.003848,0.337236,0.511679,0.79s,14516
order 15,0.054122,0.000709,0.000383,0.336059,0.000509,0.006016,0.003760,0.347635,0.505081,1.94s,19752
trip 5,0.050074,0.000734,0.000500,0.336857,0.000326,0.003277,0.001542,0.343429,0.060350,1.89s,18964
trip 10,0.049822,0.000773,0.000534,0.344961,0.000368,0.003299,0.001516,0.351651,0.060266,5.27s,29940
trip 15,0.049994,0.000761,0.000491,0.336568,0.000373,0.003305,0.001499,0.343210,0.060440,11.85s,48460
tripv2 5,0.050919,0.000661,0.000507,0.354326,0.000372,0.004169,0.002012,0.362235,0.153781,0.87s,19716
tripv2 10,0.054085,0.000665,0.000537,0.352357,0.000358,0.004139,0.002060,0.360304,0.148223,1.99s,32232
tripv2 15,0.050894,0.000660,0.000512,0.351194,0.000365,0.004202,0.002044,0.359175,0.147074,3.94s,55332
