benchmark name,t closure,domain extension,collecting queries,rewriting,update rules const,gen derived preds,finalize,total complation,tseitin transformation, solution, size(KB)
elevator 15,0.051433,0.000133,0.000929,0.369911,0.000405,0.003433,0.000983,0.376008,0.000333,0.14s,10072
elevator 16,0.051526,0.000137,0.000952,0.367372,0.000438,0.003398,0.000953,0.373487,0.000387,0.16s,10204
elevator 17,0.050778,0.000133,0.001081,0.352540,0.000390,0.003452,0.000990,0.358823,0.000359,0.18s,10204
elevator 18,0.051442,0.000164,0.000977,0.366506,0.000376,0.003364,0.000962,0.372604,0.000339,0.19s,10208
elevator 19,0.051326,0.000129,0.000881,0.359917,0.000369,0.003406,0.000983,0.365897,0.000338,0.23s,10204
elevator 20,0.051340,0.000167,0.000974,0.372959,0.000356,0.003412,0.001006,0.379112,0.000334,0.25s,10204
elevator 21,0.051655,0.000166,0.001045,0.372192,0.000345,0.003405,0.000957,0.378330,0.000329,0.28s,10208
elevator 22,0.051638,0.000161,0.001005,0.350095,0.000369,0.003456,0.000962,0.356323,0.000335,0.31s,10204
elevator 23,0.051129,0.000125,0.000816,0.356468,0.000397,0.003501,0.000983,0.362515,0.000336,0.37s,10212
elevator 24,0.051867,0.000132,0.000863,0.364466,0.000356,0.003473,0.000993,0.370511,0.000427,0.41s,10216
elevator 25,0.051158,0.000158,0.000972,0.353831,0.000344,0.003556,0.000970,0.360056,0.000333,0.46s,10224
elevator 26,0.051043,0.000139,0.000902,0.365588,0.000340,0.003448,0.001073,0.371709,0.000359,0.52s,10228
elevator 27,0.051705,0.000154,0.000953,0.358578,0.000344,0.003380,0.000952,0.364565,0.000337,0.58s,10332
elevator 28,0.051996,0.000137,0.000917,0.353727,0.000438,0.003486,0.000963,0.359895,0.000356,0.67s,10340
elevator 29,0.052467,0.000179,0.000992,0.360214,0.000372,0.003653,0.001015,0.366683,0.000375,0.76s,10344
elevator 30,0.051522,0.000141,0.000936,0.351272,0.000340,0.003509,0.000964,0.357368,0.000352,0.81s,10340
elevator 31,0.051418,0.000128,0.000904,0.368138,0.000349,0.003668,0.000962,0.374354,0.000330,0.90s,10336
elevator 32,0.051763,0.000125,0.000858,0.361945,0.000412,0.003558,0.000970,0.368091,0.000341,1.03s,10340
elevator 33,0.052934,0.000149,0.000334,0.367892,0.000339,0.003540,0.000957,0.374144,0.000338,1.08s,10336
elevator 34,0.051542,0.000714,0.000385,0.366435,0.000417,0.003486,0.000952,0.372623,0.000324,1.18s,10340
