fragment,variant,task,tseitin,count,mean,median,geomean
core,var0,blocks,True,35,0.411717,0.410627,0.411685
core,var0,catOG,True,20,0.385458,0.385092,0.385424
core,var0,cat_2022,True,20,0.387348,0.384996,0.387295
core,var0,elevator,True,20,0.422005,0.391066,0.410283
core,var0,order,True,15,0.431698,0.392458,0.416990
core,var0,robot,True,20,0.697127,0.637672,0.656966
core,var0,task,True,20,0.421374,0.420813,0.421346
core,var0,trip,True,15,0.387096,0.385880,0.387069
core,var0,tripv2,True,15,0.401420,0.399669,0.401396
core,var3,blocks,True,35,0.429005,0.411223,0.422555
core,var3,catOG,True,20,0.385250,0.384497,0.385227
core,var3,cat_2022,True,20,0.386156,0.384180,0.386095
core,var3,elevator,True,20,0.391252,0.388039,0.391202
core,var3,order,True,15,0.389756,0.389998,0.389745
core,var3,robot,True,20,0.721450,0.624630,0.670933
core,var3,task,True,20,0.416252,0.415349,0.416216
core,var3,trip,True,15,0.385830,0.385784,0.385803
core,var3,tripv2,True,15,0.441839,0.401740,0.427674
ekab,,blocks,True,35,0.360981,0.360289,0.360960
ekab,,catImproved_2025,True,20,0.352878,0.353372,0.352863
ekab,,catOG,True,20,0.338195,0.337862,0.338185
ekab,,cat_2022,True,20,0.343386,0.341241,0.343345
ekab,,drones,True,24,0.385431,0.366201,0.378100
ekab,,dronesv2,True,24,0.379101,0.378117,0.379048
ekab,,elevator,True,20,0.371757,0.347298,0.362905
ekab,,order,True,15,0.333090,0.332010,0.333079
ekab,,phone_assembly,True,10,0.351597,0.346255,0.351113
ekab,,queens,True,30,0.347182,0.345571,0.347132
ekab,,robot,True,20,0.415237,0.412652,0.413800
ekab,,robotConj,True,20,0.371653,0.378408,0.371189
ekab,,task,True,20,0.348236,0.347135,0.348214
ekab,,trip,True,15,0.341258,0.339839,0.341230
ekab,,tripv2,True,15,0.394378,0.362875,0.382737
horn,var0,blocks,True,35,0.383126,0.381637,0.383063
horn,var0,catOG,True,20,0.351704,0.349196,0.351655
horn,var0,cat_2022,True,20,0.354088,0.350859,0.354023
horn,var0,dronesv2,True,24,0.437516,0.434354,0.437267
horn,var0,elevator,True,20,0.392712,0.364303,0.383080
horn,var0,order,True,15,0.375664,0.374686,0.375636
horn,var0,phone_assembly,True,10,0.441644,0.390686,0.424752
horn,var0,robot,True,20,0.503808,0.504729,0.498160
horn,var0,robotConj,True,20,0.460848,0.458704,0.455906
horn,var0,task,True,20,0.373018,0.373229,0.372988
horn,var0,trip,True,15,0.394181,0.358599,0.381788
horn,var0,tripv2,True,15,0.403935,0.404401,0.403899
horn,var3,blocks,True,35,0.376854,0.374945,0.376820
horn,var3,catOG,True,20,0.370013,0.370721,0.369951
horn,var3,cat_2022,True,20,0.360870,0.360492,0.360720
horn,var3,dronesv2,True,24,0.419740,0.419670,0.419732
horn,var3,elevator,True,20,0.395996,0.367862,0.387047
horn,var3,order,True,15,0.372484,0.372628,0.372468
horn,var3,phone_assembly,True,10,0.436712,0.391524,0.421251
horn,var3,robot,True,20,0.491359,0.490395,0.485907
horn,var3,robotConj,True,20,0.453470,0.457711,0.449001
horn,var3,task,True,20,0.369954,0.366749,0.369906
horn,var3,trip,True,15,0.393197,0.359788,0.381763
horn,var3,tripv2,True,15,0.398069,0.397918,0.398047
